Disposition Year,Black Incarceration,Black No Incarceration,Black Total,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Black defendants incarcerated,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
2017,1,0,1,7,4,11,6,6,12,25,28,53,100.0,63.6,50.0,47.2
2018,0,1,1,5,1,6,7,3,10,26,9,35,0.0,83.3,70.0,74.3
2019,1,0,1,19,6,25,9,3,12,34,22,56,100.0,76.0,75.0,60.7
2020,1,1,2,22,4,26,3,1,4,21,11,32,50.0,84.6,75.0,65.6
2021,4,0,4,17,4,21,10,1,11,24,12,36,100.0,81.0,90.9,66.7
2022,0,1,1,16,3,19,10,3,13,24,17,41,0.0,84.2,76.9,58.5
2023,2,1,3,17,3,20,7,3,10,27,7,34,66.7,85.0,70.0,79.4
2024,0,0,0,20,9,29,7,4,11,20,12,32,,69.0,63.6,62.5
2025,0,0,0,25,6,31,7,1,8,27,9,36,,80.6,87.5,75.0
