Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
2017 Q1,60,16,76,21.1
2017 Q2,53,20,73,27.4
2017 Q3,47,32,79,40.5
2017 Q4,43,20,63,31.7
2018 Q1,44,27,71,38.0
2018 Q2,33,20,53,37.7
2018 Q3,30,13,43,30.2
2018 Q4,24,15,39,38.5
2019 Q1,40,14,54,25.9
2019 Q2,57,33,90,36.7
2019 Q3,31,15,46,32.6
2019 Q4,32,28,60,46.7
2020 Q1,22,17,39,43.6
2020 Q2,20,9,29,31.0
2020 Q3,26,16,42,38.1
2020 Q4,40,19,59,32.2
2021 Q1,44,14,58,24.1
2021 Q2,35,15,50,30.0
2021 Q3,34,15,49,30.6
2021 Q4,45,17,62,27.4
2022 Q1,30,16,46,34.8
2022 Q2,24,16,40,40.0
2022 Q3,38,25,63,39.7
2022 Q4,38,16,54,29.6
2023 Q1,29,28,57,49.1
2023 Q2,27,39,66,59.1
2023 Q3,48,35,83,42.2
2023 Q4,46,53,99,53.5
2024 Q1,41,48,89,53.9
2024 Q2,67,33,100,33.0
2024 Q3,59,30,89,33.7
2024 Q4,46,35,81,43.2
2025 Q1,64,40,104,38.5
2025 Q2,78,44,122,36.1
2025 Q3,59,31,90,34.4
2025 Q4,37,7,44,15.9
