District,Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
22,2020,9,4,51,21,18
22,2021,12,6,64,26,36
22,2022,2,6,66,25,32
22,2023,16,33,92,30,49
22,2024,84,43,138,46,36
22,2025,105,29,112,39,43
