District,Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
22,2017 Q1,60,16,76,21.05263158
22,2017 Q2,53,20,73,27.39726027
22,2017 Q3,47,32,79,40.50632911
22,2017 Q4,43,20,63,31.74603175
22,2018 Q1,44,27,71,38.02816901
22,2018 Q2,33,20,53,37.73584906
22,2018 Q3,30,13,43,30.23255814
22,2018 Q4,24,15,39,38.46153846
22,2019 Q1,40,14,54,25.92592593
22,2019 Q2,57,33,90,36.66666667
22,2019 Q3,31,15,46,32.60869565
22,2019 Q4,32,28,60,46.66666667
22,2020 Q1,22,17,39,43.58974359
22,2020 Q2,20,9,29,31.03448276
22,2020 Q3,26,16,42,38.0952381
22,2020 Q4,40,19,59,32.20338983
22,2021 Q1,44,14,58,24.13793103
22,2021 Q2,35,15,50,30.0
22,2021 Q3,34,15,49,30.6122449
22,2021 Q4,45,17,62,27.41935484
22,2022 Q1,30,16,46,34.7826087
22,2022 Q2,24,16,40,40.0
22,2022 Q3,38,25,63,39.68253968
22,2022 Q4,38,16,54,29.62962963
22,2023 Q1,29,28,57,49.12280702
22,2023 Q2,27,39,66,59.09090909
22,2023 Q3,48,35,83,42.1686747
22,2023 Q4,46,53,99,53.53535354
22,2024 Q1,41,48,89,53.93258427
22,2024 Q2,67,33,100,33.0
22,2024 Q3,59,30,89,33.70786517
22,2024 Q4,46,35,81,43.20987654
22,2025 Q1,64,40,104,38.46153846
22,2025 Q2,77,44,121,36.36363636
22,2025 Q3,59,29,88,32.95454545
22,2025 Q4,23,6,29,20.68965517
