District,Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
22,2017 Q1,2,6,0,14,0,1,0,2,25,68.0,24.0,8.0
22,2017 Q2,5,11,0,9,2,1,1,3,32,40.625,34.375,25.0
22,2017 Q3,5,8,3,8,6,1,0,0,31,29.03225806,25.80645161,45.16129032
22,2017 Q4,2,4,0,8,10,1,0,2,27,40.74074074,14.81481481,44.44444444
22,2018 Q1,4,9,1,13,1,1,0,0,29,48.27586207,31.03448276,20.68965517
22,2018 Q2,4,5,1,9,0,2,0,1,22,54.54545455,22.72727273,22.72727273
22,2018 Q3,2,3,1,9,3,1,0,0,19,52.63157895,15.78947368,31.57894737
22,2018 Q4,3,5,1,4,5,0,0,1,19,26.31578947,26.31578947,47.36842105
22,2019 Q1,4,3,5,10,3,0,2,0,27,37.03703704,11.11111111,51.85185185
22,2019 Q2,7,10,3,12,10,0,2,2,46,30.43478261,21.73913043,47.82608696
22,2019 Q3,5,2,3,8,3,1,1,1,24,41.66666667,8.33333333,50.0
22,2019 Q4,3,4,2,19,2,1,0,1,32,65.625,12.5,21.875
22,2020 Q1,0,5,3,10,5,0,0,0,23,43.47826087,21.73913043,34.7826087
22,2020 Q2,0,0,1,6,5,0,0,1,13,53.84615385,0.0,46.15384615
22,2020 Q3,1,5,2,7,3,0,0,2,20,45.0,25.0,30.0
22,2020 Q4,2,3,4,19,3,1,0,1,33,63.63636364,9.09090909,27.27272727
22,2021 Q1,5,3,5,12,9,1,2,1,38,36.84210526,7.89473684,55.26315789
22,2021 Q2,0,1,4,13,9,0,0,0,27,48.14814815,3.7037037,48.14814815
22,2021 Q3,3,5,2,10,2,1,1,1,25,48.0,20.0,32.0
22,2021 Q4,1,6,1,11,7,1,0,2,29,48.27586207,20.68965517,31.03448276
22,2022 Q1,4,2,4,10,3,0,0,0,23,43.47826087,8.69565217,47.82608696
22,2022 Q2,2,4,4,10,3,0,0,2,25,48.0,16.0,36.0
22,2022 Q3,6,5,4,11,6,1,0,2,35,40.0,14.28571429,45.71428571
22,2022 Q4,1,7,0,11,2,3,0,0,24,58.33333333,29.16666667,12.5
22,2023 Q1,4,6,1,11,4,1,0,1,28,46.42857143,21.42857143,32.14285714
22,2023 Q2,3,11,2,14,7,0,0,0,37,37.83783784,29.72972973,32.43243243
22,2023 Q3,3,3,1,16,5,0,0,4,32,62.5,9.375,28.125
22,2023 Q4,3,10,4,9,9,0,2,3,40,30.0,25.0,45.0
22,2024 Q1,3,11,1,15,5,1,0,0,36,44.44444444,30.55555556,25.0
22,2024 Q2,1,11,2,11,3,0,0,0,28,39.28571429,39.28571429,21.42857143
22,2024 Q3,4,12,1,10,3,0,2,0,32,31.25,37.5,31.25
22,2024 Q4,4,7,3,11,7,0,4,1,37,32.43243243,18.91891892,48.64864865
22,2025 Q1,4,14,4,12,4,0,0,2,40,35.0,35.0,30.0
22,2025 Q2,1,14,4,25,4,1,3,2,54,51.85185185,25.92592593,22.22222222
22,2025 Q3,1,11,3,14,4,0,2,1,36,41.66666667,30.55555556,27.77777778
22,2025 Q4,0,5,1,5,1,1,0,0,13,46.15384615,38.46153846,15.38461538
22,2026 Q1,1,6,0,4,3,0,0,2,16,37.5,37.5,25.0
22,2026 Q2,0,0,2,0,2,0,0,0,4,0.0,0.0,100.0
22,2031 Q2,0,0,1,0,0,0,0,0,1,0.0,0.0,100.0
