Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2019,0,1,1,11,10,21,41,44,85,106,32,138,100.0,47.6,51.8,23.2
2020,0,3,3,9,4,13,40,31,71,58,22,80,100.0,30.8,43.7,27.5
2021,2,3,5,18,5,23,52,32,84,84,21,105,60.0,21.7,38.1,20.0
2022,3,0,3,13,15,28,39,30,69,73,28,101,0.0,53.6,43.5,27.7
2023,1,4,5,14,20,34,64,78,142,64,42,106,80.0,58.8,54.9,39.6
2024,2,1,3,22,14,36,80,71,151,94,50,144,33.3,38.9,47.0,34.7
2025,1,1,2,21,15,36,86,57,143,109,45,154,50.0,41.7,39.9,29.2
