Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,2,6,0,14,0,1,0,2,25,68.0,24.0,8.0
2017 Q2,5,11,0,9,2,1,1,3,32,40.6,34.4,25.0
2017 Q3,5,8,3,8,6,1,0,0,31,29.0,25.8,45.2
2017 Q4,2,4,0,8,10,1,0,2,27,40.7,14.8,44.4
2018 Q1,4,9,1,13,1,1,0,0,29,48.3,31.0,20.7
2018 Q2,4,5,1,9,0,2,0,1,22,54.5,22.7,22.7
2018 Q3,2,3,1,9,3,1,0,0,19,52.6,15.8,31.6
2018 Q4,3,5,1,4,5,0,0,1,19,26.3,26.3,47.4
2019 Q1,4,3,5,10,3,0,2,0,27,37.0,11.1,51.9
2019 Q2,7,10,3,12,10,0,2,2,46,30.4,21.7,47.8
2019 Q3,5,2,3,8,3,1,1,1,24,41.7,8.3,50.0
2019 Q4,3,4,2,19,2,1,0,1,32,65.6,12.5,21.9
2020 Q1,0,5,3,10,5,0,0,0,23,43.5,21.7,34.8
2020 Q2,0,0,1,6,5,0,0,1,13,53.8,0.0,46.2
2020 Q3,1,5,2,7,3,0,0,2,20,45.0,25.0,30.0
2020 Q4,2,3,4,19,3,1,0,1,33,63.6,9.1,27.3
2021 Q1,5,3,5,12,9,1,2,1,38,36.8,7.9,55.3
2021 Q2,0,1,4,13,9,0,0,0,27,48.1,3.7,48.1
2021 Q3,3,5,2,10,2,1,1,1,25,48.0,20.0,32.0
2021 Q4,1,6,1,11,7,1,0,2,29,48.3,20.7,31.0
2022 Q1,4,2,4,10,3,0,0,0,23,43.5,8.7,47.8
2022 Q2,2,4,4,10,3,0,0,2,25,48.0,16.0,36.0
2022 Q3,6,5,4,11,6,1,0,2,35,40.0,14.3,45.7
2022 Q4,1,7,0,11,2,3,0,0,24,58.3,29.2,12.5
2023 Q1,4,6,1,11,4,1,0,1,28,46.4,21.4,32.1
2023 Q2,3,11,2,14,7,0,0,0,37,37.8,29.7,32.4
2023 Q3,3,3,1,16,5,0,0,4,32,62.5,9.4,28.1
2023 Q4,3,10,4,9,9,0,2,3,40,30.0,25.0,45.0
2024 Q1,3,11,1,15,5,1,0,0,36,44.4,30.6,25.0
2024 Q2,1,11,2,11,3,0,0,0,28,39.3,39.3,21.4
2024 Q3,4,12,1,10,3,0,2,0,32,31.2,37.5,31.2
2024 Q4,4,7,3,11,7,0,4,1,37,32.4,18.9,48.6
2025 Q1,4,14,4,12,4,0,0,2,40,35.0,35.0,30.0
2025 Q2,1,14,4,25,4,1,3,2,54,51.9,25.9,22.2
2025 Q3,1,11,3,15,5,0,2,1,38,42.1,28.9,28.9
2025 Q4,0,7,1,6,1,1,0,0,16,43.8,43.8,12.5
