District,Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
22,2020,1,0,1,0,0,0,100.0,
22,2021,0,0,0,1,0,1,,100.0
22,2022,1,0,1,3,2,5,100.0,60.0
22,2023,13,4,17,11,3,14,76.47058824,78.57142857
22,2024,19,10,29,4,0,4,65.51724138,100.0
22,2025,30,11,41,4,0,4,73.17073171,100.0
22,2026,6,3,9,2,0,2,66.66666667,100.0
22,2031,0,0,0,0,0,0,,
