District,Disposition Year,Native American Incarceration,Native American No Incarceration,Native American Total,Hispanic Incarceration,Hispanic No Incarceration,Hispanic Total,White Incarceration,White No Incarceration,White Total,Percent of Native American defendants incarcerated,Percent of Hispanic defendants incarcerated,Percent of White defendants incarcerated
22,2020,22,4,26,3,1,4,21,11,32,84.61538462,75.0,65.625
22,2021,17,4,21,10,1,11,24,12,36,80.95238095,90.90909091,66.66666667
22,2022,16,3,19,10,3,13,24,17,41,84.21052632,76.92307692,58.53658537
22,2023,17,3,20,7,3,10,27,7,34,85.0,70.0,79.41176471
22,2024,20,9,29,7,4,11,20,12,32,68.96551724,63.63636364,62.5
22,2025,25,6,31,7,1,8,27,9,36,80.64516129,87.5,75.0
