District,Disposition Quarter,Deferred,Probation,Community Corrections,Prison
22,2017 Q1,11,10,3,9
22,2017 Q2,6,3,2,2
22,2017 Q3,4,8,5,5
22,2017 Q4,13,8,0,7
22,2018 Q1,6,4,2,5
22,2018 Q2,5,4,2,5
22,2018 Q3,3,0,3,8
22,2018 Q4,7,3,1,8
22,2019 Q1,11,5,2,8
22,2019 Q2,8,10,5,15
22,2019 Q3,9,2,3,13
22,2019 Q4,15,4,0,11
22,2020 Q1,13,0,0,7
22,2020 Q2,9,6,0,6
22,2020 Q3,7,4,3,10
22,2020 Q4,7,4,3,13
22,2021 Q1,7,5,2,14
22,2021 Q2,7,4,2,8
22,2021 Q3,6,2,2,5
22,2021 Q4,4,4,2,10
22,2022 Q1,13,8,1,8
22,2022 Q2,16,5,1,11
22,2022 Q3,8,4,4,10
22,2022 Q4,7,4,0,7
22,2023 Q1,7,2,3,6
22,2023 Q2,7,2,1,11
22,2023 Q3,8,2,2,8
22,2023 Q4,11,6,2,15
22,2024 Q1,17,3,3,6
22,2024 Q2,14,7,4,2
22,2024 Q3,8,8,6,5
22,2024 Q4,7,6,5,8
22,2025 Q1,6,5,5,14
22,2025 Q2,8,0,6,11
22,2025 Q3,12,8,5,7
22,2025 Q4,2,5,4,5
22,2026 Q1,6,3,1,10
22,2026 Q2,1,1,0,2
22,2026 Q3,0,1,0,0
22,2031 Q2,0,0,0,1
