Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail,Youth Corrections
2020,9,4,51,21,18,1
2021,12,6,64,26,36,2
2022,2,6,66,25,32,2
2023,16,33,92,30,49,3
2024,84,43,138,46,36,3
2025,110,33,128,43,45,3
