Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,14,4,18,16,5,21,77.8,76.2
2020,8,2,10,8,2,10,80.0,80.0
2021,13,4,17,9,2,11,76.5,81.8
2022,12,4,16,8,4,12,75.0,66.7
2023,5,1,6,10,7,17,83.3,58.8
2024,9,2,11,13,5,18,81.8,72.2
