Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,186.0,38.0,150.0,45.0,47.0,20.0,3.0,37.0
Change since 2024,30.98591549,-26.92307692,-13.79310345,-18.18181818,20.51282051,11.11111111,0.0,76.19047619
