District,Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
12,2017,2221,457,881
12,2018,1854,450,839
12,2019,1699,516,849
12,2020,1624,462,753
12,2021,2181,657,929
12,2022,1614,510,732
12,2023,1757,557,752
12,2024,1700,578,798
12,2025,1655,512,897
