Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,2222,457,882
2018,1854,448,841
2019,1699,516,849
2020,1622,463,754
2021,2177,656,936
2022,1615,508,735
2023,1763,558,752
2024,1693,581,803
2025,1652,512,900
