District,Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
12,2017 Q1,17,9,11,37
12,2017 Q2,10,8,6,24
12,2017 Q3,14,22,28,64
12,2017 Q4,17,15,19,51
12,2018 Q1,8,13,12,33
12,2018 Q2,10,10,15,35
12,2018 Q3,13,5,11,29
12,2018 Q4,5,7,7,19
12,2019 Q1,5,3,10,18
12,2019 Q2,9,17,33,59
12,2019 Q3,13,5,9,27
12,2019 Q4,14,6,13,33
12,2020 Q1,14,15,31,60
12,2020 Q2,23,21,15,59
12,2020 Q3,12,11,6,29
12,2020 Q4,9,5,6,20
12,2021 Q1,4,4,4,12
12,2021 Q2,8,9,5,22
12,2021 Q3,4,9,3,16
12,2021 Q4,16,15,9,40
12,2022 Q1,12,12,8,32
12,2022 Q2,8,9,3,20
12,2022 Q3,9,12,5,26
12,2022 Q4,12,9,12,33
12,2023 Q1,10,7,10,27
12,2023 Q2,9,10,8,27
12,2023 Q3,15,6,6,27
12,2023 Q4,25,10,11,46
12,2024 Q1,12,9,3,24
12,2024 Q2,20,8,8,36
12,2024 Q3,9,12,5,26
12,2024 Q4,7,4,5,16
12,2025 Q1,17,16,8,41
12,2025 Q2,15,10,9,34
12,2025 Q3,14,12,7,33
12,2025 Q4,14,8,2,24
12,2026 Q1,16,13,10,39
12,2026 Q2,10,8,5,23
