District,Filing Year,Male,Female,Another Gender,Unknown/Missing
12,2017,2539,990,9,21
12,2018,2273,856,2,12
12,2019,2229,831,0,4
12,2020,2071,733,3,32
12,2021,2689,1015,8,55
12,2022,2098,727,6,25
12,2023,2134,739,10,183
12,2024,2166,811,17,82
12,2025,2175,762,12,115
