Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,1702,88,1545,26,14,145,41
2018,1530,50,1353,29,2,140,39
2019,1380,77,1445,18,6,107,31
2020,1226,54,1374,16,5,87,77
2021,1629,100,1803,37,12,83,105
2022,1364,67,1264,23,8,61,71
2023,1349,62,1343,16,15,84,204
2024,1394,47,1366,21,16,123,110
2025,1438,56,1281,12,11,113,153
