District,Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
12,2017,1700,88,1545,26,14,145,41
12,2018,1530,50,1353,29,2,140,39
12,2019,1380,77,1445,18,6,107,31
12,2020,1226,54,1375,16,5,86,77
12,2021,1627,101,1801,37,12,84,105
12,2022,1361,67,1263,23,10,61,71
12,2023,1344,61,1341,16,15,85,204
12,2024,1391,48,1365,21,16,123,112
12,2025,1436,57,1281,12,11,114,153
