Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,2540,991,9,21
2018,2271,856,4,12
2019,2229,831,0,4
2020,2070,733,4,32
2021,2690,1016,8,55
2022,2099,727,7,25
2023,2142,736,12,183
2024,2168,812,17,80
2025,2179,757,13,115
