District,Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Missing/Unknown
12,2017,134,884,1142,1373,26
12,2018,114,622,1106,1292,9
12,2019,84,617,1011,1339,13
12,2020,91,585,908,1245,10
12,2021,98,809,1171,1647,42
12,2022,116,573,880,1278,9
12,2023,116,560,923,1375,92
12,2024,152,582,886,1440,16
12,2025,125,532,796,1598,13
12,2026,44,238,422,741,3
