District,Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
02,2020,713,581,1296,55.0154321,44.83024691
02,2021,784,559,1345,58.28996283,41.56133829
02,2022,842,441,1288,65.37267081,34.23913043
02,2023,869,621,1500,57.93333333,41.4
02,2024,975,540,1525,63.93442623,35.40983607
02,2025,1038,523,1582,65.61314791,33.05941846
