District,Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
02,2017 Q1,3,60,57,80,341,17.59530792,16.71554252
02,2017 Q2,6,65,55,87,350,18.57142857,15.71428571
02,2017 Q3,1,52,58,95,362,14.36464088,16.02209945
02,2017 Q4,9,72,51,65,334,21.55688623,15.26946108
02,2018 Q1,4,58,43,66,299,19.39799331,14.3812709
02,2018 Q2,0,61,50,83,336,18.1547619,14.88095238
02,2018 Q3,2,67,68,75,400,16.75,17.0
02,2018 Q4,5,76,42,71,339,22.41887906,12.38938053
02,2019 Q1,5,60,48,65,313,19.16932907,15.33546326
02,2019 Q2,3,71,55,83,332,21.38554217,16.56626506
02,2019 Q3,6,77,60,72,388,19.84536082,15.46391753
02,2019 Q4,4,79,46,71,359,22.00557103,12.81337047
02,2020 Q1,2,61,46,52,293,20.81911263,15.6996587
02,2020 Q2,3,58,31,67,273,21.24542125,11.35531136
02,2020 Q3,6,65,58,73,370,17.56756757,15.67567568
02,2020 Q4,4,68,54,74,357,19.04761905,15.12605042
02,2021 Q1,3,70,48,82,332,21.08433735,14.45783133
02,2021 Q2,3,71,55,77,356,19.94382022,15.4494382
02,2021 Q3,5,76,69,64,332,22.89156627,20.78313253
02,2021 Q4,3,37,86,65,323,11.45510836,26.625387
02,2022 Q1,1,48,65,60,288,16.66666667,22.56944444
02,2022 Q2,1,55,71,60,290,18.96551724,24.48275862
02,2022 Q3,5,58,78,78,372,15.59139785,20.96774194
02,2022 Q4,9,48,64,84,330,14.54545455,19.39393939
02,2023 Q1,3,54,80,78,364,14.83516484,21.97802198
02,2023 Q2,3,58,83,74,360,16.11111111,23.05555556
02,2023 Q3,5,59,100,95,416,14.18269231,24.03846154
02,2023 Q4,0,58,72,81,344,16.86046512,20.93023256
02,2024 Q1,4,58,91,95,394,14.72081218,23.0964467
02,2024 Q2,6,37,90,76,363,10.19283747,24.79338843
02,2024 Q3,5,60,82,96,389,15.42416452,21.07969152
02,2024 Q4,2,56,76,89,354,15.81920904,21.46892655
02,2025 Q1,0,59,99,87,379,15.56728232,26.12137203
02,2025 Q2,2,66,101,94,427,15.45667447,23.65339578
02,2025 Q3,1,63,103,77,404,15.59405941,25.4950495
02,2025 Q4,2,49,81,67,350,14.0,23.14285714
02,2026 Q1,0,42,76,73,312,13.46153846,24.35897436
02,2026 Q2,4,40,91,69,332,12.04819277,27.40963855
