Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,332,1356,1688,939,3614,4553,19.7,20.6
2021,385,1689,2074,1003,4427,5430,18.6,18.5
2022,409,1551,1960,1076,4712,5788,20.9,18.6
2023,387,1586,1973,1109,4731,5840,19.6,19.0
2024,419,1596,2015,1107,4899,6006,20.8,18.4
2025,448,1659,2107,1303,4768,6071,21.3,21.5
