District,Disposition Quarter,Conviction,No Conviction,Total
02,2017 Q1,24,24,48
02,2017 Q2,28,25,53
02,2017 Q3,16,20,36
02,2017 Q4,29,24,53
02,2018 Q1,19,21,40
02,2018 Q2,15,20,35
02,2018 Q3,21,17,38
02,2018 Q4,37,27,64
02,2019 Q1,23,17,40
02,2019 Q2,31,18,49
02,2019 Q3,26,21,47
02,2019 Q4,24,17,41
02,2020 Q1,14,20,34
02,2020 Q2,18,7,25
02,2020 Q3,20,11,31
02,2020 Q4,17,14,31
02,2021 Q1,9,16,25
02,2021 Q2,19,22,41
02,2021 Q3,19,10,29
02,2021 Q4,15,17,32
02,2022 Q1,16,8,24
02,2022 Q2,17,14,31
02,2022 Q3,19,17,36
02,2022 Q4,17,11,28
02,2023 Q1,19,11,30
02,2023 Q2,21,15,36
02,2023 Q3,29,11,40
02,2023 Q4,20,13,33
02,2024 Q1,23,6,29
02,2024 Q2,24,10,34
02,2024 Q3,18,20,38
02,2024 Q4,15,12,27
02,2025 Q1,17,12,29
02,2025 Q2,18,19,37
02,2025 Q3,12,17,29
02,2025 Q4,16,13,29
