District,Filing Quarter,Number of violent cases filed involving a child victim
02,2017 Q1,58
02,2017 Q2,69
02,2017 Q3,68
02,2017 Q4,53
02,2018 Q1,57
02,2018 Q2,59
02,2018 Q3,62
02,2018 Q4,60
02,2019 Q1,55
02,2019 Q2,61
02,2019 Q3,62
02,2019 Q4,75
02,2020 Q1,61
02,2020 Q2,49
02,2020 Q3,63
02,2020 Q4,52
02,2021 Q1,71
02,2021 Q2,66
02,2021 Q3,50
02,2021 Q4,71
02,2022 Q1,65
02,2022 Q2,65
02,2022 Q3,67
02,2022 Q4,44
02,2023 Q1,73
02,2023 Q2,58
02,2023 Q3,60
02,2023 Q4,62
02,2024 Q1,74
02,2024 Q2,69
02,2024 Q3,62
02,2024 Q4,56
02,2025 Q1,70
02,2025 Q2,101
02,2025 Q3,57
02,2025 Q4,64
02,2026 Q1,54
02,2026 Q2,54
