Filing Year,Male,Female,Unknown/Missing
2017,5927,5390,681
2018,5128,5041,641
2019,5785,5214,672
2020,5179,4539,555
2021,5125,4655,812
2022,4953,4642,863
2023,5422,4811,1164
2024,5272,4713,3944
2025,5736,4853,1182
