Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Unknown/Missing
2017,6902,1308,41,40,177,2929,601
2018,6444,1252,89,32,196,2258,539
2019,6739,1387,81,52,196,2723,493
2020,6201,1395,116,30,155,1777,599
2021,6458,1399,100,44,199,1680,714
2022,6750,1420,120,61,227,988,891
2023,6832,1414,338,38,245,1565,965
2024,7139,1564,204,58,257,3727,980
2025,7579,1670,144,73,309,1039,955
