Disposition Year,Non-White Victim Cases Dismissed,Non-White Victim Cases Not Dismissed,Non-White Victim Total Cases,White Victim Cases Dismissed,White Victim Cases Not Dismissed,White Victim Cases Total,Percent of cases dismissed involving non-white victims,Percent of cases dismissed involving white victims
2020,332,1355,1687,939,3613,4552,19.67990516,20.62829525
2021,385,1690,2075,1000,4430,5430,18.55421687,18.41620626
2022,409,1551,1960,1075,4706,5781,20.86734694,18.59539872
2023,388,1586,1974,1109,4729,5838,19.65552178,18.99623159
2024,419,1595,2014,1108,4899,6007,20.80436941,18.44514733
2025,445,1652,2097,1296,4723,6019,21.22079161,21.53181592
