District,Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
02,2020,76,446,522,49,209,258,14.55938697,18.99224806
02,2021,128,560,688,46,286,332,18.60465116,13.85542169
02,2022,108,592,700,66,355,421,15.42857143,15.67695962
02,2023,80,474,554,69,292,361,14.44043321,19.11357341
02,2024,118,501,619,85,347,432,19.06300485,19.67592593
02,2025,113,525,638,92,369,461,17.71159875,19.95661605
