Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,90,288,378,109,235,344,23.8,31.7
2021,116,358,474,108,306,414,24.5,26.1
2022,106,344,450,146,391,537,23.6,27.2
2023,98,317,415,181,463,644,23.6,28.1
2024,104,324,428,179,455,634,24.3,28.2
2025,103,312,415,201,449,650,24.8,30.9
