Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,90,288,378,109,235,344,23.80952381,31.68604651
2021,116,358,474,108,307,415,24.47257384,26.02409639
2022,106,344,450,146,391,537,23.55555556,27.18808194
2023,98,317,415,181,463,644,23.61445783,28.10559006
2024,104,324,428,179,456,635,24.29906542,28.18897638
2025,103,312,415,201,449,650,24.81927711,30.92307692
