District,Filing Year,Male,Female,Unknown/Missing
02,2017,5927,5390,681
02,2018,5128,5041,641
02,2019,5785,5214,672
02,2020,5179,4539,555
02,2021,5125,4655,814
02,2022,4952,4642,863
02,2023,5422,4811,1164
02,2024,5272,4713,3944
02,2025,5736,4852,1181
