Disposition Year,Highest Income Neighborhood Cases Dismissed,Highest Income Neighborhood Cases Not Dismissed,Highest Income Neighborhood Total Cases Disposed,Lowest Income Neighborhood Cases Dismissed,Lowest Income Neighborhood Cases Not Dismissed,Lowest Income Neighborhood Total Cases Disposed,Percent of cases in highest income zip codes dismissed,Percent of cases in lowest income zip codes dismissed
2020,76,446,522,49,209,258,14.6,19.0
2021,129,560,689,46,286,332,18.7,13.9
2022,108,592,700,66,357,423,15.4,15.6
2023,79,475,554,69,292,361,14.3,19.1
2024,118,500,618,85,347,432,19.1,19.7
2025,115,536,651,92,371,463,17.7,19.9
