Filing Quarter,Missing,Highest income zip code cases filed,Lowest income zip code cases filed,Middle income quintile cases filed,Total Cases Filed,Percent of violent crimes occuring in highest income zip codes,Percent of violent crimes occuring in lowest income zip codes
2017 Q1,3,60,57,80,341,17.6,16.7
2017 Q2,6,65,55,87,350,18.6,15.7
2017 Q3,1,52,58,95,362,14.4,16.0
2017 Q4,9,72,51,65,334,21.6,15.3
2018 Q1,4,58,43,66,299,19.4,14.4
2018 Q2,0,61,50,83,336,18.2,14.9
2018 Q3,2,67,68,75,400,16.8,17.0
2018 Q4,5,76,42,71,339,22.4,12.4
2019 Q1,5,60,48,65,313,19.2,15.3
2019 Q2,3,71,55,83,332,21.4,16.6
2019 Q3,6,77,60,72,388,19.8,15.5
2019 Q4,4,79,46,71,359,22.0,12.8
2020 Q1,2,61,46,52,293,20.8,15.7
2020 Q2,3,58,31,67,273,21.2,11.4
2020 Q3,6,65,57,73,370,17.6,15.4
2020 Q4,4,68,54,74,357,19.0,15.1
2021 Q1,3,70,48,82,332,21.1,14.5
2021 Q2,3,71,55,77,356,19.9,15.4
2021 Q3,5,76,69,64,332,22.9,20.8
2021 Q4,3,37,86,65,323,11.5,26.6
2022 Q1,1,48,65,60,288,16.7,22.6
2022 Q2,1,55,71,60,290,19.0,24.5
2022 Q3,5,58,78,78,372,15.6,21.0
2022 Q4,9,48,64,84,330,14.5,19.4
2023 Q1,3,54,80,78,364,14.8,22.0
2023 Q2,3,58,83,74,360,16.1,23.1
2023 Q3,5,59,100,95,416,14.2,24.0
2023 Q4,0,58,72,81,344,16.9,20.9
2024 Q1,4,58,91,95,394,14.7,23.1
2024 Q2,6,37,90,76,363,10.2,24.8
2024 Q3,5,60,82,96,389,15.4,21.1
2024 Q4,2,56,76,89,354,15.8,21.5
2025 Q1,0,59,99,87,380,15.5,26.1
2025 Q2,2,66,101,93,427,15.5,23.7
2025 Q3,1,64,103,78,404,15.8,25.5
2025 Q4,2,50,81,67,351,14.2,23.1
2026 Q1,0,44,76,71,312,14.1,24.4
2026 Q2,4,44,89,70,335,13.1,26.6
