Filing Year,White Victim,NonWhite Victim,Total,Percent involving a white victim,Percent involving a non-white victim
2020,713,581,1296,55.0,44.8
2021,784,559,1345,58.3,41.6
2022,842,441,1288,65.4,34.2
2023,869,621,1500,57.9,41.4
2024,975,540,1525,63.9,35.4
2025,1038,524,1582,65.6,33.1
