Disposition Year,Conviction,No Conviction,Total
2017,97,93,190
2018,92,85,177
2019,104,73,177
2020,69,52,121
2021,62,65,127
2022,69,50,119
2023,89,50,139
2024,80,48,128
2025,63,61,124
