Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,3914.0,705.0,1218.0,388.0,348.0,47.0,3.0,252.0
Change since 2024,-3.11881188,75.37313433,-3.86740331,37.58865248,41.46341463,-34.72222222,-82.35294118,-8.36363636
