Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,80,88,168,90,63,153,47.61904762,58.82352941
2020,60,56,116,41,35,76,51.72413793,53.94736842
2021,61,71,132,61,52,113,46.21212121,53.98230088
2022,97,58,155,99,40,139,62.58064516,71.22302158
2023,107,81,188,102,44,146,56.91489362,69.8630137
2024,100,85,185,91,54,145,54.05405405,62.75862069
