DispositionQuarter,New case filed within 180 days - felony defendants,No new case filed within 180 days - felony defendants,Total Felony Defendants,Percent of felony defendants with new case filed within 1 year,New case filed within 180 days - misdemeanor defendants,No new case filed within 180 days - misdemeanor defendants,Total Misdemeanor Defendants,Percent of misdemeanor defendants with new case filed within 1 year
2018 Q3,25,68,93,26.9,61,257,318,19.2
2019 Q2,19,69,88,21.6,55,291,346,15.9
2020 Q4,11,32,43,25.6,53,251,304,17.4
2025 Q3,7,39,46,15.2,59,295,354,16.7
2021 Q3,11,43,54,20.4,57,319,376,15.2
2023 Q1,11,54,65,16.9,56,288,344,16.3
2017 Q3,15,43,58,25.9,56,284,340,16.5
2025 Q4,7,25,32,21.9,35,264,299,11.7
2021 Q2,10,48,58,17.2,53,294,347,15.3
2019 Q1,31,48,79,39.2,67,304,371,18.1
2022 Q2,6,35,41,14.6,75,291,366,20.5
2018 Q1,15,48,63,23.8,69,288,357,19.3
2019 Q4,10,28,38,26.3,55,261,316,17.4
2021 Q1,11,43,54,20.4,35,284,319,11.0
2019 Q3,9,60,69,13.0,58,267,325,17.8
2024 Q1,10,55,65,15.4,51,283,334,15.3
2018 Q2,12,64,76,15.8,64,259,323,19.8
2020 Q1,15,50,65,23.1,60,294,354,16.9
2023 Q4,17,40,57,29.8,54,228,282,19.1
2018 Q4,21,65,86,24.4,70,259,329,21.3
2020 Q3,5,28,33,15.2,30,257,287,10.5
2017 Q4,23,59,82,28.0,54,268,322,16.8
2024 Q3,6,42,48,12.5,39,279,318,12.3
2024 Q2,14,50,64,21.9,60,269,329,18.2
2017 Q1,21,45,66,31.8,55,248,303,18.2
2022 Q3,5,39,44,11.4,58,295,353,16.4
2025 Q1,8,57,65,12.3,44,354,398,11.1
2023 Q2,13,40,53,24.5,57,262,319,17.9
2017 Q2,15,45,60,25.0,47,264,311,15.1
2020 Q2,13,17,30,43.3,17,132,149,11.4
2023 Q3,10,42,52,19.2,52,264,316,16.5
2022 Q1,5,44,49,10.2,77,304,381,20.2
2024 Q4,12,41,53,22.6,56,286,342,16.4
2021 Q4,9,47,56,16.1,59,328,387,15.2
2025 Q2,6,39,45,13.3,61,340,401,15.2
2022 Q4,6,30,36,16.7,52,266,318,16.4
