Disposition Quarter,Drugs,DUI,Other,Person,Property,Sex Offense,Traffic,Weapons,Total,"Percent involving person, sex, or weapons offenses",Percent involving DUI,Percent involving other offenses
2017 Q1,20,63,19,44,52,1,20,2,221,21.3,28.5,50.2
2017 Q2,10,80,19,43,48,5,20,1,226,21.7,35.4,42.9
2017 Q3,11,46,18,63,62,4,19,1,224,30.4,20.5,49.1
2017 Q4,22,54,22,64,58,4,18,4,246,29.3,22.0,48.8
2018 Q1,17,38,36,58,56,3,26,2,236,26.7,16.1,57.2
2018 Q2,22,59,33,49,83,5,27,7,285,21.4,20.7,57.9
2018 Q3,16,53,24,37,41,5,26,1,203,21.2,26.1,52.7
2018 Q4,16,53,31,68,52,3,20,1,244,29.5,21.7,48.8
2019 Q1,23,57,40,73,74,1,23,2,293,25.9,19.5,54.6
2019 Q2,22,59,24,40,66,7,27,1,246,19.5,24.0,56.5
2019 Q3,35,49,24,43,51,4,21,0,227,20.7,21.6,57.7
2019 Q4,21,64,26,36,59,3,7,4,220,19.5,29.1,51.4
2020 Q1,24,52,29,44,49,2,25,2,227,21.1,22.9,55.9
2020 Q2,3,18,4,11,20,1,1,1,59,22.0,30.5,47.5
2020 Q3,9,30,17,36,45,3,7,1,148,27.0,20.3,52.7
2020 Q4,5,48,12,20,26,2,4,3,120,20.8,40.0,39.2
2021 Q1,11,26,23,25,34,0,5,4,128,22.7,20.3,57.0
2021 Q2,13,40,22,27,32,2,3,4,143,23.1,28.0,49.0
2021 Q3,14,48,22,37,61,5,12,6,205,23.4,23.4,53.2
2021 Q4,12,53,10,20,61,2,10,3,171,14.6,31.0,54.4
2022 Q1,17,55,22,33,70,5,17,4,223,18.8,24.7,56.5
2022 Q2,29,49,30,33,95,4,9,4,253,16.2,19.4,64.4
2022 Q3,26,50,24,36,81,1,8,5,231,18.2,21.6,60.2
2022 Q4,17,40,18,29,71,5,13,5,198,19.7,20.2,60.1
2023 Q1,25,58,25,37,95,3,4,3,250,17.2,23.2,59.6
2023 Q2,26,51,23,33,91,7,5,5,241,18.7,21.2,60.2
2023 Q3,32,51,22,24,71,5,3,3,211,15.2,24.2,60.7
2023 Q4,28,41,22,21,89,5,3,4,213,14.1,19.2,66.7
2024 Q1,40,59,23,27,73,4,7,7,240,15.8,24.6,59.6
2024 Q2,33,55,25,40,80,4,7,8,252,20.6,21.8,57.5
2024 Q3,16,50,14,31,63,2,7,3,186,19.4,26.9,53.8
2024 Q4,17,56,19,26,60,3,10,5,196,17.3,28.6,54.1
2025 Q1,16,90,29,35,88,4,9,8,279,16.8,32.3,50.9
2025 Q2,27,80,26,33,106,7,14,4,297,14.8,26.9,58.2
2025 Q3,22,71,23,30,86,10,7,4,253,17.4,28.1,54.5
2025 Q4,16,57,12,27,64,10,10,1,197,19.3,28.9,51.8
