Disposition Year,Black No Pretrial,Black Pretrial,Black Total Cases,Hispanic No Pretrial,Hispanic Pretrial,Hispanic Total Cases,Native American No Pretrial,Native American Pretrial,Native American Total Cases,White No Pretrial,White Pretrial,White Total Cases,Percent of Black defendants detained pretrial,Percent of Hispanic defendants detained pretrial,Percent of Native American defendants detained pretrial,Percent of White defendants detained pretrial
2019,169,102,271,264,132,396,8,4,12,1421,560,1981,37.6,33.3,33.3,28.3
2020,95,60,155,171,106,277,3,4,7,1017,363,1380,38.7,38.3,57.1,26.3
2021,149,83,232,270,132,402,7,4,11,1252,441,1693,35.8,32.8,36.4,26.0
2022,136,123,259,255,201,456,5,3,8,1201,644,1845,47.5,44.1,37.5,34.9
2023,137,139,276,282,197,479,2,5,7,1104,633,1737,50.4,41.1,71.4,36.4
2024,169,142,311,283,236,519,2,4,6,1149,566,1715,45.7,45.5,66.7,33.0
2025,146,185,331,333,300,633,6,4,10,1240,735,1975,55.9,47.4,40.0,37.2
