Disposition Year,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2019,270,90,18,60,7,179
2020,165,51,16,49,10,117
2021,219,45,2,70,5,200
2022,167,62,4,95,5,289
2023,223,63,13,100,7,303
2024,226,71,9,71,8,275
2025,185,73,18,47,3,250
