Disposition Year,Credit for time served,Probation,Probation plus Jail,Jail,Community Corrections,Youth Corrections,Prison
2020,4,165,51,16,49,10,117
2021,2,219,45,2,70,5,200
2022,2,167,62,4,95,5,289
2023,0,223,62,13,100,7,303
2024,3,226,71,9,71,8,275
2025,4,183,73,18,48,3,249
