Disposition Year,Private Attorney Incarceration,Private Attorney No Incarceration,Private Attorney Total Cases,Public Defender Incarceration,Public Defender No Incarceration,Public Defender Total Cases,Percent of cases with a private attorney incarcerated,Percent of cases with a public defender incarcerated
2019,158,132,290,155,100,255,54.5,60.8
2020,97,77,174,116,85,201,55.7,57.7
2021,138,98,236,161,118,279,58.5,57.7
2022,165,61,226,275,104,379,73.0,72.6
2023,147,80,227,311,139,450,64.8,69.1
2024,139,87,226,277,144,421,61.5,65.8
2025,169,60,229,205,127,332,73.8,61.7
