Metric,Fine/ Comm. Serv/ Fee,Credit for time served,Probation,Probation plus Jail,Jail,Comm. Corr.,Youth Corr.,Prison
Sentences in 2025,3827.0,704.0,1207.0,386.0,342.0,48.0,3.0,249.0
Change since 2024,-5.29571888,76.0,-4.66034755,37.36654804,38.46153846,-32.3943662,-82.35294118,-9.45454545
