Disposition Year,Highest Income Neighborhood Incarceration,Highest Income Neighborhood No Incarceration,Highest Income Neighborhood Total Cases,Lowest Income Neighborhood Incarceration,Lowest Income Neighborhood No Incarceration,Lowest Income Neighborhood Total Cases,Percent of cases from highest income zip code incarcerated,Percent of cases from lowest income zip code incarcerated
2019,84,91,175,96,63,159,48.0,60.4
2020,59,57,116,44,36,80,50.9,55.0
2021,61,73,134,62,49,111,45.5,55.9
2022,102,59,161,95,41,136,63.4,69.9
2023,109,81,190,101,44,145,57.4,69.7
2024,97,84,181,89,53,142,53.6,62.7
