District,Disposition Year,Fine/Comm. Serv/Fee,Credit for time served,Probation,Probation plus Jail,Jail
23,2020,884,141,922,175,137
23,2021,884,214,1143,186,142
23,2022,810,342,1028,198,253
23,2023,1016,299,941,200,229
23,2024,1337,307,1020,210,232
23,2025,1239,463,1001,313,285
