District,Disposition Quarter,NoPretrialDetention,PretrialDetention,Total,Percent of defendants detained pretrial
23,2017 Q1,525,113,638,17.71159875
23,2017 Q2,517,124,641,19.34477379
23,2017 Q3,518,141,659,21.39605463
23,2017 Q4,551,135,686,19.67930029
23,2018 Q1,543,154,697,22.09469154
23,2018 Q2,503,221,724,30.52486188
23,2018 Q3,440,206,646,31.88854489
23,2018 Q4,472,239,711,33.61462729
23,2019 Q1,538,246,784,31.37755102
23,2019 Q2,503,212,715,29.65034965
23,2019 Q3,476,185,661,27.98789713
23,2019 Q4,438,176,614,28.66449511
23,2020 Q1,459,193,652,29.60122699
23,2020 Q2,167,85,252,33.73015873
23,2020 Q3,367,134,501,26.74650699
23,2020 Q4,368,138,506,27.27272727
23,2021 Q1,390,137,527,25.99620493
23,2021 Q2,444,146,590,24.74576271
23,2021 Q3,470,186,656,28.35365854
23,2021 Q4,449,204,653,31.24042879
23,2022 Q1,448,239,687,34.78893741
23,2022 Q2,425,269,694,38.76080692
23,2022 Q3,407,267,674,39.61424332
23,2022 Q4,382,213,595,35.79831933
23,2023 Q1,449,255,704,36.22159091
23,2023 Q2,407,253,660,38.33333333
23,2023 Q3,382,239,621,38.4863124
23,2023 Q4,354,245,599,40.9015025
23,2024 Q1,456,226,682,33.13782991
23,2024 Q2,426,276,702,39.31623932
23,2024 Q3,394,223,617,36.14262561
23,2024 Q4,414,243,657,36.98630137
23,2025 Q1,484,358,842,42.51781473
23,2025 Q2,488,336,824,40.77669903
23,2025 Q3,458,305,763,39.97378768
23,2025 Q4,381,250,631,39.61965135
