Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,7924,2384,3753
2018,7490,2685,3643
2019,7297,2825,3531
2020,5534,3057,3257
2021,5551,2862,3115
2022,5021,2863,2781
2023,5483,2844,2955
2024,6165,3157,3137
2025,6843,3076,3734
