Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,9950,4000,1,110
2018,9756,3989,0,73
2019,9740,3866,1,46
2020,8569,3238,0,41
2021,8369,3109,2,48
2022,7711,2913,3,38
2023,8148,3108,1,25
2024,9114,3289,3,53
2025,9943,3651,5,47
