Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
2017,10452,634,2565,40,66,281,23
2018,10002,614,2807,36,41,290,28
2019,9718,599,2955,29,59,268,25
2020,8337,586,2587,45,52,192,49
2021,8270,589,2270,46,62,225,66
2022,7558,541,2273,37,51,174,31
2023,7833,569,2526,38,96,194,26
2024,8427,605,3018,52,76,221,60
2025,8956,723,3450,60,112,317,35
