Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
2017 Q1,137,87,105,329
2017 Q2,174,113,103,390
2017 Q3,163,107,104,374
2017 Q4,207,96,114,417
2018 Q1,164,92,119,375
2018 Q2,210,138,128,476
2018 Q3,223,117,88,428
2018 Q4,187,96,116,399
2019 Q1,176,139,127,442
2019 Q2,200,99,124,423
2019 Q3,192,99,93,384
2019 Q4,196,104,102,402
2020 Q1,191,97,81,369
2020 Q2,119,53,69,241
2020 Q3,154,82,86,322
2020 Q4,172,74,70,316
2021 Q1,120,65,65,250
2021 Q2,178,72,68,318
2021 Q3,174,82,72,328
2021 Q4,130,64,56,250
2022 Q1,148,70,54,272
2022 Q2,162,47,46,255
2022 Q3,133,52,36,221
2022 Q4,129,66,41,236
2023 Q1,142,51,56,249
2023 Q2,150,72,51,273
2023 Q3,128,59,62,249
2023 Q4,96,52,47,195
2024 Q1,118,60,47,225
2024 Q2,114,51,48,213
2024 Q3,110,54,54,218
2024 Q4,133,50,53,236
2025 Q1,136,54,49,239
2025 Q2,157,74,49,280
2025 Q3,143,70,34,247
2025 Q4,128,55,38,221
2026 Q1,136,60,59,255
2026 Q2,110,48,45,203
