District,Filing Year,White,Black,Hispanic,Native American,Asian,Another Race/Ethnicity,Missing/Unknown
08,2017,10450,633,2563,42,66,284,23
08,2018,10004,614,2804,36,41,291,28
08,2019,9715,599,2955,29,59,270,26
08,2020,8338,588,2584,45,51,193,49
08,2021,8272,590,2271,44,61,224,66
08,2022,7558,541,2271,37,51,176,31
08,2023,7830,569,2529,38,96,194,26
08,2024,8420,606,3014,52,76,230,61
08,2025,8934,720,3464,59,112,322,35
