District,Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
08,2017 Q1,7,83,90,7.77777778,92.22222222
08,2017 Q2,6,72,78,7.69230769,92.30769231
08,2017 Q3,2,90,92,2.17391304,97.82608696
08,2017 Q4,6,74,80,7.5,92.5
08,2018 Q1,10,59,69,14.49275362,85.50724638
08,2018 Q2,8,64,72,11.11111111,88.88888889
08,2018 Q3,8,72,80,10.0,90.0
08,2018 Q4,8,82,90,8.88888889,91.11111111
08,2019 Q1,7,71,78,8.97435897,91.02564103
08,2019 Q2,9,67,76,11.84210526,88.15789474
08,2019 Q3,10,85,95,10.52631579,89.47368421
08,2019 Q4,12,64,76,15.78947368,84.21052632
08,2020 Q1,14,72,86,16.27906977,83.72093023
08,2020 Q2,17,76,93,18.27956989,81.72043011
08,2020 Q3,12,75,87,13.79310345,86.20689655
08,2020 Q4,22,83,105,20.95238095,79.04761905
08,2021 Q1,13,70,83,15.6626506,84.3373494
08,2021 Q2,11,88,99,11.11111111,88.88888889
08,2021 Q3,19,81,100,19.0,81.0
08,2021 Q4,14,73,87,16.09195402,83.90804598
08,2022 Q1,17,75,92,18.47826087,81.52173913
08,2022 Q2,8,88,96,8.33333333,91.66666667
08,2022 Q3,23,75,98,23.46938776,76.53061224
08,2022 Q4,25,91,116,21.55172414,78.44827586
08,2023 Q1,14,107,121,11.57024793,88.42975207
08,2023 Q2,15,84,99,15.15151515,84.84848485
08,2023 Q3,21,94,115,18.26086957,81.73913043
08,2023 Q4,18,124,142,12.67605634,87.32394366
08,2024 Q1,26,83,109,23.85321101,76.14678899
08,2024 Q2,16,104,120,13.33333333,86.66666667
08,2024 Q3,19,86,105,18.0952381,81.9047619
08,2024 Q4,17,97,114,14.9122807,85.0877193
08,2025 Q1,18,76,94,19.14893617,80.85106383
08,2025 Q2,20,96,116,17.24137931,82.75862069
08,2025 Q3,23,96,119,19.32773109,80.67226891
08,2025 Q4,13,93,106,12.26415094,87.73584906
08,2026 Q1,15,69,84,17.85714286,82.14285714
08,2026 Q2,16,74,90,17.77777778,82.22222222
