Filing Quarter,At least 1 prior violent conviction,No prior violent convictions,Total,Percent of defendants with prior violent conviction,Percent of defendants with no prior violent convictions
2017 Q1,7,83,90,7.8,92.2
2017 Q2,6,72,78,7.7,92.3
2017 Q3,2,90,92,2.2,97.8
2017 Q4,6,74,80,7.5,92.5
2018 Q1,10,59,69,14.5,85.5
2018 Q2,8,64,72,11.1,88.9
2018 Q3,8,72,80,10.0,90.0
2018 Q4,8,82,90,8.9,91.1
2019 Q1,7,71,78,9.0,91.0
2019 Q2,9,67,76,11.8,88.2
2019 Q3,10,85,95,10.5,89.5
2019 Q4,12,64,76,15.8,84.2
2020 Q1,14,72,86,16.3,83.7
2020 Q2,17,76,93,18.3,81.7
2020 Q3,12,75,87,13.8,86.2
2020 Q4,22,83,105,21.0,79.0
2021 Q1,13,70,83,15.7,84.3
2021 Q2,11,88,99,11.1,88.9
2021 Q3,19,81,100,19.0,81.0
2021 Q4,14,73,87,16.1,83.9
2022 Q1,17,75,92,18.5,81.5
2022 Q2,8,88,96,8.3,91.7
2022 Q3,23,75,98,23.5,76.5
2022 Q4,25,91,116,21.6,78.4
2023 Q1,14,107,121,11.6,88.4
2023 Q2,15,84,99,15.2,84.8
2023 Q3,21,94,115,18.3,81.7
2023 Q4,18,124,142,12.7,87.3
2024 Q1,26,83,109,23.9,76.1
2024 Q2,16,104,120,13.3,86.7
2024 Q3,19,86,105,18.1,81.9
2024 Q4,17,97,114,14.9,85.1
2025 Q1,18,76,94,19.1,80.9
2025 Q2,20,96,116,17.2,82.8
2025 Q3,23,98,121,19.0,81.0
2025 Q4,13,94,107,12.1,87.9
2026 Q1,15,69,84,17.9,82.1
2026 Q2,16,74,90,17.8,82.2
