District,Disposition Quarter,At least 1 prior felony conviction,Prior misdemeanor convictions only,No prior convictions,Total
08,2017 Q1,137,87,105,329
08,2017 Q2,174,113,103,390
08,2017 Q3,163,107,104,374
08,2017 Q4,207,96,114,417
08,2018 Q1,164,92,119,375
08,2018 Q2,210,138,128,476
08,2018 Q3,223,117,88,428
08,2018 Q4,187,96,116,399
08,2019 Q1,176,139,127,442
08,2019 Q2,200,99,124,423
08,2019 Q3,192,99,93,384
08,2019 Q4,196,104,102,402
08,2020 Q1,191,97,81,369
08,2020 Q2,119,53,69,241
08,2020 Q3,154,82,86,322
08,2020 Q4,172,74,70,316
08,2021 Q1,120,65,65,250
08,2021 Q2,178,72,68,318
08,2021 Q3,174,82,72,328
08,2021 Q4,130,64,56,250
08,2022 Q1,148,70,54,272
08,2022 Q2,162,47,46,255
08,2022 Q3,133,52,36,221
08,2022 Q4,129,66,41,236
08,2023 Q1,142,51,56,249
08,2023 Q2,150,72,51,273
08,2023 Q3,128,59,62,249
08,2023 Q4,96,52,47,195
08,2024 Q1,118,60,47,225
08,2024 Q2,114,51,48,213
08,2024 Q3,110,54,54,218
08,2024 Q4,133,50,53,236
08,2025 Q1,136,54,49,239
08,2025 Q2,157,74,49,280
08,2025 Q3,143,70,34,247
08,2025 Q4,128,55,38,221
08,2026 Q1,136,60,59,255
08,2026 Q2,110,48,45,203
