District,Filing Year,Under 18,18-25 y.o.,26-35 y.o.,36+ y.o.,Missing/Unknown
08,2017,786,4251,4287,4724,13
08,2018,793,3878,4141,4994,12
08,2019,791,3514,4225,5088,35
08,2020,517,2970,3831,4508,22
08,2021,395,2889,3707,4515,22
08,2022,460,2530,3426,4232,17
08,2023,459,2492,3393,4930,8
08,2024,564,2723,3641,5506,25
08,2025,556,2913,3748,6421,8
