Filing Year,No prior convictions,Prior felony conviction,Prior misdemeanor conviction only
2017,7927,2383,3751
2018,7494,2684,3640
2019,7297,2825,3531
2020,5533,3057,3258
2021,5552,2862,3114
2022,5023,2863,2779
2023,5486,2843,2953
2024,6171,3149,3139
2025,6856,3064,3726
