Filing Year,Male,Female,Another Gender,Unknown/Missing
2017,9951,4000,1,109
2018,9757,3988,0,73
2019,9739,3867,1,46
2020,8569,3238,0,41
2021,8369,3109,2,48
2022,7711,2913,3,38
2023,8148,3108,1,25
2024,9114,3289,3,53
2025,9948,3651,5,47
