Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
2017,868,3207,275
2018,928,3119,236
2019,815,3148,228
2020,737,4985,208
2021,883,4992,206
2022,670,5055,395
2023,663,4872,382
2024,671,4800,378
2025,618,5181,417
