Filing Quarter,Felony,Misdemeanor,Petty Offense/Infraction
2020 Q1,196,753,45
2020 Q2,176,1540,70
2020 Q3,195,1610,41
2020 Q4,170,1082,52
2021 Q1,204,1292,67
2021 Q2,220,1236,52
2021 Q3,243,1261,45
2021 Q4,216,1203,42
2022 Q1,191,1295,93
2022 Q2,163,1221,68
2022 Q3,168,1259,95
2022 Q4,148,1280,139
2023 Q1,189,1252,100
2023 Q2,167,1195,74
2023 Q3,152,1153,110
2023 Q4,155,1272,98
2024 Q1,162,1167,78
2024 Q2,141,1161,102
2024 Q3,190,1243,95
2024 Q4,178,1229,103
2025 Q1,148,1021,87
2025 Q2,156,1252,100
2025 Q3,182,1451,135
2025 Q4,132,1457,95
2026 Q1,165,1299,105
2026 Q2,150,1485,72
