Filing Year,Person,Sex Offense,Weapons,Property,Drugs,DUI,Other,Traffic
2020,877,32,45,467,170,749,461,3129
2021,1093,57,37,477,222,836,528,2831
2022,1098,53,51,435,225,1078,512,2668
2023,1065,31,35,488,215,834,437,2812
2024,1142,34,45,488,220,816,424,2680
2025,1128,32,37,480,231,832,500,2976
