District,Filing Year,Felony,Misdemeanor,Petty Offense/Infraction
05,2017,868,3207,275
05,2018,928,3119,236
05,2019,815,3148,228
05,2020,737,4985,208
05,2021,883,4992,206
05,2022,670,5055,395
05,2023,663,4872,382
05,2024,671,4800,378
05,2025,618,5181,417
05,2026,316,2814,183
05,2028,0,1,0
05,2048,0,1,0
